,country,restaurant_cnt,cuisine,cuisine_cnt
402,Croatia,8375,Soups,55.0
403,Czech Republic,14844,Soups,190.0
404,Denmark,9485,Soups,22.0
405,Finland,7372,Soups,160.0
406,France,155288,Soups,453.0
407,Germany,115333,Soups,882.0
408,Greece,33763,Soups,96.0
409,Hungary,7431,Soups,149.0
410,Ireland,11203,Soups,234.0
411,Italy,224763,Soups,1852.0
412,Poland,24698,Soups,562.0
413,Portugal,32592,Soups,336.0
414,Romania,7842,Soups,121.0
415,Slovakia,4251,Soups,105.0
416,Spain,157479,Soups,341.0
417,Sweden,18555,Soups,146.0
418,The Netherlands,29792,Soups,188.0
419,United Kingdom,171664,Soups,1510.0
420,Austria,20487,Central European,2743.0
421,Belgium,23711,Central European,165.0
422,Bulgaria,4469,Central European,360.0
423,Croatia,8375,Central European,501.0
424,Czech Republic,14844,Central European,1668.0
425,Denmark,9485,Central European,48.0
426,Finland,7372,Central European,52.0
427,France,155288,Central European,168.0
428,Germany,115333,Central European,8969.0
429,Greece,33763,Central European,100.0
430,Hungary,7431,Central European,1109.0
431,Ireland,11203,Central European,32.0
432,Italy,224763,Central European,502.0
433,Poland,24698,Central European,1547.0
434,Portugal,32592,Central European,68.0
435,Romania,7842,Central European,501.0
436,Slovakia,4251,Central European,630.0
437,Spain,157479,Central European,437.0
438,Sweden,18555,Central European,65.0
439,The Netherlands,29792,Central European,423.0
440,United Kingdom,171664,Central European,261.0
441,Austria,20487,Indian,161.0
442,Belgium,23711,Indian,180.0
443,Bulgaria,4469,Indian,27.0
444,Croatia,8375,Indian,7.0
445,Czech Republic,14844,Indian,202.0
446,Denmark,9485,Indian,158.0
447,Finland,7372,Indian,113.0
448,France,155288,Indian,1674.0
449,Germany,115333,Indian,1519.0
450,Greece,33763,Indian,109.0
451,Hungary,7431,Indian,63.0
452,Ireland,11203,Indian,410.0
453,Italy,224763,Indian,498.0
454,Poland,24698,Indian,285.0
455,Portugal,32592,Indian,474.0
456,Romania,7842,Indian,29.0
457,Slovakia,4251,Indian,47.0
458,Spain,157479,Indian,1350.0
459,Sweden,18555,Indian,373.0
460,The Netherlands,29792,Indian,343.0
461,United Kingdom,171664,Indian,13097.0
462,Austria,20487,Pakistani,9.0
463,Belgium,23711,Pakistani,22.0
464,Bulgaria,4469,Pakistani,3.0
465,Czech Republic,14844,Pakistani,8.0
466,Denmark,9485,Pakistani,27.0
467,Finland,7372,Pakistani,6.0
468,France,155288,Pakistani,453.0
469,Germany,115333,Pakistani,87.0
470,Greece,33763,Pakistani,12.0
471,Hungary,7431,Pakistani,6.0
472,Ireland,11203,Pakistani,39.0
473,Italy,224763,Pakistani,93.0
474,Poland,24698,Pakistani,10.0
